"Transaction ID","Posting Date","Effective Date","Transaction Type","Amount","Check Number","Reference Number","Description","Transaction Category","Type","Balance","Memo","Extended Description"
"20210303 64148 1,342 374,696","3/3/2021","3/3/2021","Debit","-13.42000","","31259436","#782666 SHELL SERVICE S ERLANGER KY Card 15 #1501","Auto & Transport","POS","3069.00000","","#782666 SHELL SERVICE S ERLANGER KY Card 15 #1501"
"20210302 64148 300,000 261,275","3/2/2021","3/2/2021","Credit","3000.00000","","31159008","From Share 0000 24 to loans, 6 for m","","Retail ACH","3082.42000","","From Share 0000 24 to loans, 6 for m"
"20210301 64148 371 600,118","3/1/2021","3/1/2021","Debit","-3.71000","","31158999","#537267 SHELL SERVICE S ERLANGER KY Card 15 #1501","Auto & Transport","POS","82.42000","","#537267 SHELL SERVICE S ERLANGER KY Card 15 #1501"
"20210301 64148 2,175 583,356","3/1/2021","3/1/2021","Debit","-21.75000","","31158998","Withdrawal Debit ARLIN'S BAR CINCINNATI OH Date 02/28/21 44644 5813 Card 15 #1501","","Card","86.13000","","Withdrawal Debit ARLIN'S BAR CINCINNATI OH Date 02/28/21 44644 5813 Card 15 #1501"
"20210228 64148 4,449 262,196","2/28/2021","2/28/2021","Debit","-44.49000","","31158997","#731472 KROGER #4 7685 MAL FLORENCE KY Card 15 #1501","","POS","107.88000","","#731472 KROGER #4 7685 MAL FLORENCE KY Card 15 #1501"
"20210228 64148 6,095 261,171","2/28/2021","2/28/2021","Debit","-60.95000","","31158996","#732136 KROGER #4 7685 MAL FLORENCE KY Card 15 #1501","","POS","152.37000","","#732136 KROGER #4 7685 MAL FLORENCE KY Card 15 #1501"
"20210227 64148 4,239 318,862","2/27/2021","2/27/2021","Debit","-42.39000","","31063826","Withdrawal Debit NINTENDO *AMERICAUS 800-255-3700 WA Date 02/27/21 43284 5816 Card 15 #1501","","Card","213.32000","","Withdrawal Debit NINTENDO *AMERICAUS 800-255-3700 WA Date 02/27/21 43284 5816 Card 15 #1501"
"20210225 64148 604 413,388","2/25/2021","2/25/2021","Debit","-6.04000","","31063825","#041432 WENDY'S - TURF 7434 TURFWAY RD FLORENCE KY Card 15 #1501","","POS","255.71000","","#041432 WENDY'S - TURF 7434 TURFWAY RD FLORENCE KY Card 15 #1501"
"20210225 64148 730 369,743","2/25/2021","2/25/2021","Debit","-7.30000","","30954367","#505443 SHELL SERVICE S ERLANGER KY Card 15 #1501","Auto & Transport","POS","261.75000","","#505443 SHELL SERVICE S ERLANGER KY Card 15 #1501"
"20210225 64148 7,693 273,694","2/25/2021","2/25/2021","Debit","-76.93000","","30954366","Withdrawal Debit VALLEY WINE AND SPIRIT EDGEWOOD KY Date 02/24/21 24780 5921 Card 15 #1501","","Card","269.05000","","Withdrawal Debit VALLEY WINE AND SPIRIT EDGEWOOD KY Date 02/24/21 24780 5921 Card 15 #1501"
"20210224 64148 1,307 320,707","2/24/2021","2/24/2021","Debit","-13.07000","","30954365","XIAN QIONGYAO CO: XIAN QIONGYAO TYPE: IAT PAYPAL  ID: 770510487C DATA: FF3               US ACH ECC IAT ACH Trace 511","Shopping","ACH","345.98000","","XIAN QIONGYAO CO: XIAN QIONGYAO TYPE: IAT PAYPAL  ID: 770510487C DATA: FF3               US ACH ECC IAT ACH Trace 511"
"20210223 64148 371 351,402","2/23/2021","2/23/2021","Debit","-3.71000","","30954364","#209361 SHELL SERVICE S ERLANGER KY Card 15 #1501","Auto & Transport","POS","359.05000","","#209361 SHELL SERVICE S ERLANGER KY Card 15 #1501"
"20210222 64148 991 500,380","2/22/2021","2/22/2021","Debit","-9.91000","","30954363","Withdrawal Debit Subway 60534 Erlanger KY Date 02/22/21 27020 5814 Card 15 #1501","Food & Dining","Card","362.76000","","Withdrawal Debit Subway 60534 Erlanger KY Date 02/22/21 27020 5814 Card 15 #1501"
"20210222 64148 3,000 274,744","2/22/2021","2/22/2021","Debit","-30.00000","","30954362","Withdrawal Debit LA TORTA LOCA LLC FLORENCE KY Date 02/20/21 50493 5499 Card 15 #1501","","Card","372.67000","","Withdrawal Debit LA TORTA LOCA LLC FLORENCE KY Date 02/20/21 50493 5499 Card 15 #1501"
"20210219 64148 51,496 424,514","2/19/2021","2/19/2021","Debit","-514.96000","","30954361","#019818 MICRO ELECTRON 11755 Mosteller Ro Sharonville OH Card 15 #1501","","POS","402.67000","","#019818 MICRO ELECTRON 11755 Mosteller Ro Sharonville OH Card 15 #1501"
"20210219 64148 965 421,119","2/19/2021","2/19/2021","Debit","-9.65000","","30954360","Withdrawal Debit Subway 60534 Erlanger KY Date 02/19/21 27026 5814 Card 15 #1501","Food & Dining","Card","917.63000","","Withdrawal Debit Subway 60534 Erlanger KY Date 02/19/21 27026 5814 Card 15 #1501"
"20210219 64148 50,000 386,422","2/19/2021","2/19/2021","Credit","500.00000","","30724764","From Share 0000 InCaseOfMicrocenter","","Retail ACH","927.28000","","From Share 0000 InCaseOfMicrocenter"
"20210218 64148 604 393,444","2/18/2021","2/18/2021","Debit","-6.04000","","30724670","#056889 WENDY'S - TURF 7434 TURFWAY RD FLORENCE KY Card 15 #1501","","POS","427.28000","","#056889 WENDY'S - TURF 7434 TURFWAY RD FLORENCE KY Card 15 #1501"
"20210217 64148 965 423,445","2/17/2021","2/17/2021","Debit","-9.65000","","30724669","Withdrawal Debit Subway 60534 Erlanger KY Date 02/17/21 27024 5814 Card 15 #1501","Food & Dining","Card","433.32000","","Withdrawal Debit Subway 60534 Erlanger KY Date 02/17/21 27024 5814 Card 15 #1501"
"20210217 64148 792 356,140","2/17/2021","2/17/2021","Debit","-7.92000","","30724668","#415706 SHELL SERVICE S ERLANGER KY Card 15 #1501","Auto & Transport","POS","442.97000","","#415706 SHELL SERVICE S ERLANGER KY Card 15 #1501"
"20210217 64148 6,990 274,527","2/17/2021","2/17/2021","Debit","-69.90000","","30724667","Withdrawal Debit VALLEY WINE AND SPIRIT EDGEWOOD KY Date 02/16/21 24784 5921 Card 15 #1501","","Card","450.89000","","Withdrawal Debit VALLEY WINE AND SPIRIT EDGEWOOD KY Date 02/16/21 24784 5921 Card 15 #1501"
